Date,DayOfWeek,Event,Category,PIC,Notes,IsHoliday,IsConsecutiveHoliday
2026-11-25,Wednesday,G7: Life Planning (CL),Life Planning / CL,SKL,Wednesday,No,No
2026-11-25,Wednesday,G8M: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2026-11-25,Wednesday,G12: Mathematics Test (CL),Test / CL,CHN,Wednesday,No,No
2026-11-29,Sunday,IB G11 CAS Trip (to 6/12) (Subject to change),Trip / IB,,,No,No
2026-12-01,Tuesday,G7-11: MYE,Exam / MYE,,Tuesday; Purple period,No,No
2026-12-01,Tuesday,G12: Talk by HKU Space CC (enrolled students) (?) TBC,Talk,MLL,Tuesday,No,No
2026-12-02,Wednesday,G7-11: MYE,Exam / MYE,,Wednesday,No,No
2026-12-02,Wednesday,G12: Eng Writing Test (CL),Test / CL,LHT,Wednesday,No,No
2026-12-05,Saturday,G7 (F.1) Auditions,Audition,,,No,No
2026-12-08,Tuesday,G7-11: MYE,Exam / MYE,,Tuesday,No,No
2026-12-08,Tuesday,G12DPS: Guidance Talk (A),Guidance / A,SKL,Tuesday,No,No
2026-12-08,Tuesday,G12MJT: DSE More reminder on JUPAS and application of EAPP (CL),DSE / JUPAS,MLL,Tuesday,No,No
2026-12-08,Tuesday,Submission of Progress Report on Action Plan,Deadline,,,No,No
2026-12-09,Wednesday,G7-11: MYE,Exam / MYE,,Wednesday,No,No
2026-12-09,Wednesday,G12: Project Legacy Talk (CL),Talk / CL,CCY,Wednesday,No,No
2026-12-12,Saturday,G7 (F.1) Auditions,Audition,,,No,No
2026-12-15,Tuesday,G7-11: MYE,Exam / MYE,,Tuesday,No,No
2026-12-15,Tuesday,G12DSE: DSE More reminder on JUPAS and application of EAPP (CL),DSE / JUPAS,MLL,Tuesday,No,No
2026-12-15,Tuesday,G12MJT: Guidance Talk (A),Guidance / A,SKL,Tuesday,No,No
2026-12-16,Wednesday,G7-11: MYE,Exam / MYE,,Wednesday,No,No
2026-12-17,Thursday,BS Formal Dinner (Christmas Dinner),Formal Dinner,,,No,No
2026-12-18,Friday,Christmas Service,Service / Religious,WLL,Friday,No,No
2026-12-19,Saturday,G7 (F.1) Auditions,Audition,,,No,No
2026-12-21,Monday,Christmas & New Year Holiday starts,School Holiday,,連假開始,Yes,Yes
2026-12-23,Wednesday,Christmas & New Year Holiday,School Holiday,,,Yes,Yes
2026-12-24,Thursday,Christmas Eve,Public / School Holiday,,,Yes,No
2026-12-25,Friday,Christmas Day,Public Holiday,,,Yes,No
2026-12-26,Saturday,The first weekday after Christmas Day,Public Holiday,,,Yes,No
2026-12-27,Sunday,Christmas & New Year Holiday,School Holiday,,,Yes,Yes
2026-12-29,Tuesday,Christmas & New Year Holiday,School Holiday,,,Yes,Yes
2026-12-30,Wednesday,Christmas & New Year Holiday,School Holiday,,,Yes,Yes
2027-01-01,Friday,The first day of January,Public Holiday,,接續聖誕連假,Yes,Yes
2027-01-04,Monday,G12 Mock Exam starts (to 23/1),Exam / Mock,,Purple period,No,No
2027-01-04,Monday,Return of marked scripts (G7-G11),Return of Scripts,,,No,No
2027-01-04,Monday,Experiential Week (G7-G11),Experiential Week,,,No,No
2027-01-05,Tuesday,G12: Mock Exam,Exam / Mock,,Tuesday,No,No
2027-01-06,Wednesday,G12: Mock Exam,Exam / Mock,,Wednesday,No,No
2027-01-06,Wednesday,G7 Character Building Programme (Day 3),Character Building,,Yellow,No,No
2027-01-11,Monday,Deadline for marks input (G7-G11),Deadline,,,No,No
2027-01-12,Tuesday,G12: Mock Exam,Exam / Mock,RG,Tuesday,No,No
2027-01-13,Wednesday,G7G: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2027-01-13,Wednesday,G8L: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2027-01-13,Wednesday,G9: Guidance Talk (H),Guidance,SKL,Wednesday,No,No
2027-01-13,Wednesday,G11: DSE+IB HKU Admissions Talk TBC (+ period 6&7),Admissions Talk,MLL,Wednesday,No,No
2027-01-13,Wednesday,G12: Mock Exam,Exam / Mock,,Wednesday,No,No
2027-01-14,Thursday,Checking of result slips (G7-G11),Admin,,,No,No
2027-01-15,Friday,BS February Intake Application Deadline,Deadline / Admission,,,No,No
2027-01-18,Monday,Inter-House Athletics Competitions,Sports / House,,,No,No
2027-01-19,Tuesday,G10: Guidance Talk (A),Guidance / A,SKL,Tuesday,No,No
2027-01-19,Tuesday,G11: DSE+IB HKU Admissions Talk TBC (+ period 6&7),Admissions Talk,MLL,Tuesday,No,No
2027-01-19,Tuesday,G12: Mock Exam,Exam / Mock,,Tuesday,No,No
2027-01-20,Wednesday,G7: Project Legacy Talk (CL),Talk / CL,CCY,Wednesday,No,No
2027-01-20,Wednesday,G8: Guidance Talk (A),Guidance / A,SKL,Wednesday,No,No
2027-01-20,Wednesday,G12: Mock Exam,Exam / Mock,,Wednesday,No,No
2027-01-21,Thursday,Mid-year Exam Evaluation Meetings (G7-G9),Meeting,,,No,No
2027-01-22,Friday,Mid-year Exam Evaluation Meetings (G10-G11),Meeting,,,No,No
2027-01-23,Saturday,G12 Mock Exam ends,Exam / Mock,,,No,No
2027-01-26,Tuesday,G10: DSE Career Planning Workshop,Career / DSE,MLL,Tuesday,No,No
2027-01-27,Wednesday,G7P: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2027-01-27,Wednesday,G8A: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2027-01-27,Wednesday,G10: NSE Talk (A),Talk / A,CYY,Wednesday,No,No
2027-01-27,Wednesday,G11: DSE Career Planning Workshop,Career / DSE,MLL,Wednesday,No,No
2027-01-27,Wednesday,G12: Return of Marked Scripts,Return of Scripts,,Wednesday,No,No
2027-01-27,Wednesday,Return of marked scripts (G12) (to 29/1),Return of Scripts,,,No,No
2027-01-29,Friday,BS Move-out Day (Semester I),Boarding,,,No,No
2027-01-30,Saturday,"Parents' Day (Distribution of report cards G7-G11, IB G10-G12)",Parents' Day,,,No,No
2027-02-02,Tuesday,Lunar New Year Holiday,School Holiday,,連假,Yes,Yes
2027-02-03,Wednesday,Lunar New Year Holiday,School Holiday,,連假,Yes,Yes
2027-02-06,Saturday,Lunar New Year's Day,Public Holiday,,農曆年初一,Yes,Yes
2027-02-07,Sunday,The second day of Lunar New Year,Public Holiday,,,Yes,Yes
2027-02-08,Monday,The third day of Lunar New Year,Public Holiday,,,Yes,Yes
2027-02-09,Tuesday,The fourth day of Lunar New Year,Public Holiday,,連假,Yes,Yes
2027-02-10,Wednesday,Lunar New Year Holiday,School Holiday,,連假,Yes,Yes
2027-02-14,Sunday,BS Move-in Day (Feb. Intake),Admission / Boarding,,,No,No
2027-02-15,Monday,Checking of result slips (G12),Admin,,,No,No
2027-02-16,Tuesday,G11: Dim Sum DIY (Activity Room & Pentagon Room),Activity,LWW,Tuesday,No,No
2027-02-17,Wednesday,G7: Guidance Talk (H),Guidance,SKL,Wednesday,No,No
2027-02-17,Wednesday,G8U: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2027-02-17,Wednesday,G9: Workshop on how to make subject choices,Workshop,MLL,Wednesday,No,No
2027-02-17,Wednesday,G11: Eng Listening Test,Test,LHT,Wednesday,No,No
2027-02-17,Wednesday,G12: Rehearsal of Graduation Ceremony,Graduation,KWC,Wednesday,No,No
2027-02-17,Wednesday,Distribution of report cards (G12),Admin,,,No,No
2027-02-18,Thursday,Inter-School Athletics Competition (Day 1),Sports,,,No,No
2027-02-19,Friday,G12 Graduation Ceremony,Graduation,,,No,No
2027-02-22,Monday,Music Festival (to 24/3),Music,,,No,No
2027-02-23,Tuesday,G10: DSE Career Planning Workshop (Advising session),Career / DSE,MLL,Tuesday,No,No
2027-02-23,Tuesday,Inter-School Athletics Competition (Day 2),Sports,,,No,No
2027-02-24,Wednesday,G7: Life Planning (CL),Life Planning / CL,SKL,Wednesday,No,No
2027-02-24,Wednesday,G8T: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2027-02-24,Wednesday,G9: Project Legacy Talk (CL),Talk / CL,CCY,Wednesday,No,No
2027-02-24,Wednesday,G10: Eng Listening Test,Test,LHT,Wednesday,No,No
2027-02-25,Thursday,Cheering for Inter-school Athletics Final morning assembly,Assembly / Sports,RH,Thursday,No,No
2027-02-25,Thursday,IB G12 Mock Exam (to 12/3),Exam / IB,,,No,No
2027-02-26,Friday,Inter-School Athletics Competition (Day 3),Sports,,,No,No
2027-02-26,Friday,BS Move-out Day (G12 Exam),Boarding,,,No,No
2027-02-27,Saturday,G7 (F.1) Oral Interviews (Chinese & English),Interview / Admission,,,No,No
2027-02-28,Sunday,"G7 (F.1) Oral Interviews (Reserved, Chinese & English)",Interview / Admission,,,No,No
2027-03-01,Monday,First Marking Inspection by Headmaster (G7-G11) (to 16/3),Inspection,,,No,No
2027-03-02,Tuesday,Adopts Friday Timetable,Timetable Adjustment,CHC,Tuesday → Friday TT,No,No
2027-03-03,Wednesday,G7: Life Planning (CL),Life Planning / CL,SKL,Wednesday,No,No
2027-03-05,Friday,Inter-House Athletics Competition Holiday,School Holiday / Sports,,Yellow,Yes,No
2027-03-06,Saturday,G7 (F.1) Oral Interviews (Chinese & English),Interview / Admission,,,No,No
2027-03-07,Sunday,"G7 (F.1) Oral Interviews (Reserved, Chinese & English)",Interview / Admission,,,No,No
2027-03-09,Tuesday,G10: Briefing session on Leadership Training Camp (A),Briefing / A,CHC,Tuesday,No,No
2027-03-09,Tuesday,G11: DSE Career Planning Workshop (Advising session),Career / DSE,MLL,Tuesday,No,No
2027-03-10,Wednesday,G7: Life Planning (CL),Life Planning / CL,SKL,Wednesday,No,No
2027-03-10,Wednesday,G9: Guidance Talk (H),Guidance,SKL,Wednesday,No,No
2027-03-13,Saturday,G7 (F.1) Oral Interviews (Chinese & English) & G7 (F.1) Sports tryouts / Music auditions,Interview / Admission,,,No,No
2027-03-16,Tuesday,G11: Project Legacy Talk (CL),Talk / CL,CCY,Tuesday,No,No
2027-03-17,Wednesday,G9: Second Information Session on G10 Streaming (A),Streaming / A,CHN,Wednesday,No,No
2027-03-17,Wednesday,Second Information Session on G10 Streaming for G9,Streaming,,,No,No
2027-03-23,Tuesday,Easter Holiday starts,School Holiday,,,Yes,Yes
2027-03-24,Wednesday,G7-9: English Test,Test,DYC,Wednesday,No,No
2027-03-25,Thursday,Easter Service,Service / Religious,WLL,Thursday,No,Yes
2027-03-26,Friday,Good Friday,Public Holiday,,連假,Yes,Yes
2027-03-27,Saturday,The day following Good Friday,Public Holiday,,連假,Yes,Yes
2027-03-28,Sunday,Easter Holiday,School Holiday,,連假,Yes,Yes
2027-03-29,Monday,Easter Monday,Public Holiday,,連假,Yes,Yes
2027-03-30,Tuesday,Easter Holiday,School Holiday,,連假,Yes,Yes
2027-03-31,Wednesday,Easter Holiday,School Holiday,,連假,Yes,Yes
2027-04-01,Thursday,Ching Ming related holiday period starts,School Holiday,,,Yes,No
2027-04-05,Monday,Ching Ming Festival,Public Holiday,,,Yes,No
2027-04-06,Tuesday,IB G12 Study Leave,Study Leave / IB,,,No,No
2027-04-06,Tuesday,G10-11: Chinese Test,Test,TWL,Tuesday,No,No
2027-04-07,Wednesday,G7-9: Chinese Test,Test,LKL,Wednesday,No,No
2027-04-07,Wednesday,G10-11: Mathematics Test,Test,CHN,Wednesday,No,No
2027-04-08,Thursday,HKDSE Core subject exams start (to 10/4 & 12-13/4),Exam / HKDSE,,,No,No
2027-04-10,Saturday,Mentoring Scheme (Tea Reception),Mentoring,,,No,No
2027-04-13,Tuesday,G10-11: Chinese Test,Test,TWL,Tuesday,No,No
2027-04-14,Wednesday,G7-9: NSE Talk (A),Talk / A,FW,Wednesday,No,No
2027-04-14,Wednesday,G10(DS+PM+JT): BAFS Test,Test,SWL,Wednesday,No,No
2027-04-14,Wednesday,G11: Eng Writing Test,Test,LHT,Wednesday,No,No
2027-04-20,Tuesday,G10: Leadership Training Camp (Tai Tong),Camp,CHC,Tuesday,No,No
2027-04-20,Tuesday,G11(DS+PM+JT): BAFS Test,Test,SWL,Tuesday,No,No
2027-04-20,Tuesday,G10 Leadership Training Camp (to 23/4),Camp,,,No,No
2027-04-21,Wednesday,G7-9: Mathematics Test,Test,KSL,Wednesday,No,No
2027-04-21,Wednesday,G10: Leadership Training Camp (Tai Tong),Camp,CHC,Wednesday,No,No
2027-04-21,Wednesday,G11: M1&M2 Test,Test,CHN,Wednesday,No,No
2027-04-26,Monday,IB G12 Exam starts (to 18/5),Exam / IB,,,No,No
2027-04-27,Tuesday,G11: DSE+IB CU Campus Visit (TBC) (+period 6&7) / DSE Interview Workshop,Visit / Workshop,MLL,Tuesday,No,No
2027-04-28,Wednesday,G7A: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2027-04-28,Wednesday,G8&9: Guidance Talk (H),Guidance,SKL,Wednesday,No,No
2027-04-28,Wednesday,G10-11: CES Test,Test,CYY,Wednesday,No,No
2027-04-28,Wednesday,G9 TSA Speaking Assessments (or 29/4),TSA,,,No,No
2027-05-01,Saturday,Labour Day,Public Holiday,,,Yes,No
2027-05-03,Monday,G9 TSA Speaking Assessments (as the fallback date),TSA,,,No,No
2027-05-04,Tuesday,Second Marking Inspection (G7-G11) (to 11/5),Inspection,,,No,No
2027-05-05,Wednesday,G7&8: Guidance Talk (H),Guidance,SKL,Wednesday,No,No
2027-05-05,Wednesday,G9: Third Information Session on G10 Streaming (A),Streaming / A,CHN,Wednesday,No,No
2027-05-05,Wednesday,G11: DSE+IB CU Campus Visit (TBC) (+period 6&7) / DSE Interview Workshop,Visit / Workshop,MLL,Wednesday,No,No
2027-05-05,Wednesday,Third Information Session on G10 Streaming for G9,Streaming,,,No,No
2027-05-08,Saturday,Registration of students from DPS & other schools,Admission,,,No,No
2027-05-10,Monday,Adopts Thursday Timetable,Timetable Adjustment,,Monday → Thursday TT,No,No
2027-05-12,Wednesday,Staff Development Day,Staff Development,,Students no school; Green,No,No
2027-05-13,Thursday,The Birthday of the Buddha,Public Holiday,,,Yes,No
2027-05-15,Saturday,Registration of students from PD,Admission,,,No,No
2027-05-19,Wednesday,G7M: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2027-05-19,Wednesday,G11: DSE Career Planning Workshop (Introduction of JUPAS & OEA),Career / DSE,MLL,Wednesday,No,No
2027-05-22,Saturday,G8-G11 Entrance Examinations (Written),Entrance Exam,,,No,No
2027-05-23,Sunday,G8-G11 Entrance Examinations (Written)(Reserved),Entrance Exam,,,No,No
2027-05-26,Wednesday,G7L: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2027-05-29,Saturday,G8-G11 Entrance Examinations (Written),Entrance Exam,,,No,No
2027-05-31,Monday,BS September Intake Application Deadline,Deadline / Admission,,,No,No
2027-05-31,Monday,IB G10 & G11 Final Exam starts (to 10/6),Exam / IB,,,No,No
2027-06-01,Tuesday,G7-G11 Final Exam starts (to 22/6),Exam / Final,,Purple period,No,No
2027-06-02,Wednesday,G7-G11 Final Exam,Exam / Final,,Wednesday,No,No
2027-06-07,Monday,Submission of Final Report on Action Plan,Deadline,,,No,No
2027-06-08,Tuesday,G7-G11 Final Exam,Exam / Final,,Tuesday,No,No
2027-06-09,Wednesday,Tuen Ng Festival,Public Holiday,,,Yes,No
2027-06-15,Tuesday,G7-G11 Final Exam,Exam / Final,,Tuesday,No,No
2027-06-16,Wednesday,G7-G11 Final Exam,Exam / Final,,Wednesday,No,No
2027-06-17,Thursday,G9 TSA Written Assessments (to 18/6),TSA,,,No,No
2027-06-22,Tuesday,G7-G11 Final Exam,Exam / Final,,Tuesday,No,No
2027-06-23,Wednesday,G7-11: Return of marked scripts,Return of Scripts,,Wednesday,No,No
2027-06-23,Wednesday,G9 TSA Written Assessments (as the fallback date),TSA,,,No,No
2027-06-23,Wednesday,BS Formal Dinner (End of Year),Formal Dinner,,,No,No
2027-06-26,Saturday,"Streaming Assessment for new G7 (F.1) boys (English, Chinese, Mathematics)",Streaming / Admission,,,No,No
2027-06-27,Sunday,"Streaming Assessment for new G7 (F.1) boys (Reserved, English, Chinese, Mathematics)",Streaming / Admission,,,No,No
2027-06-29,Tuesday,G7-11: Return of marked scripts,Return of Scripts,,Tuesday,No,No
2027-06-30,Wednesday,G7-11: Post-exam Activity,Activity,,Wednesday,No,No
2027-06-30,Wednesday,Deadline for marks input,Deadline,,,No,No
2027-07-01,Thursday,HKSAR Establishment Day,Public Holiday,,,Yes,No
2027-07-02,Friday,Checking of Result Slips (G9),Admin,,,No,No
2027-07-02,Friday,BS Move-out Day (All),Boarding,,,No,No
2027-07-03,Saturday,"Streaming Assessment for new G7 (F.1) boys (Backup, English, Chinese, Mathematics)",Streaming / Admission,,,No,No
2027-07-04,Sunday,"Streaming Assessment for new G7 (F.1) boys (Reserved, English, Chinese, Mathematics)",Streaming / Admission,,,No,No
2027-07-05,Monday,"Checking of Result Slips (G7, G8, G10 & G11)",Admin,,,No,No
2027-07-06,Tuesday,Promotion Meeting (G9),Meeting,,,No,No
2027-07-06,Tuesday,Post-exam Activity,Activity,,Tuesday,No,No
2027-07-07,Wednesday,Distribution of Report Cards (copy) & Overall Form Position to G9,Admin,,,No,No
2027-07-07,Wednesday,Post-exam Activity,Activity,,Wednesday,No,No
2027-07-08,Thursday,"Promotion Meetings (G7, G8, G10 & G11)",Meeting,,,No,No
2027-07-08,Thursday,Homecoming Concert 2027 (Tentative),Concert,,,No,No
2027-07-09,Friday,IB G10 & G11 Parents' Day,Parents' Day,,,No,No
2027-07-12,Monday,Distribution of Report Cards,Admin,,,No,No
2027-07-12,Monday,End of School Year Service,Service / Religious,WLL,Monday,No,No
2027-07-13,Tuesday,Summer Holiday starts,School Holiday / Summer,,連假開始,Yes,Yes
2027-07-13,Tuesday,Pre-S1 Hong Kong Attainment Test (if necessary),Test,,,No,No
2027-07-14,Wednesday,Release of 2027 HKDSE Examination Results (Tentative),Results,,,No,No
2027-07-16,Friday,"Release of G7 ""Class Lists""",Admin,,,No,No
2027-07-19,Monday,G7-G11 Supplementary Examinations (to 21/7),Exam / Supplementary,,,No,No
2027-07-21,Wednesday,World Choir Games 2027 (to 31/7),External Event,,,No,No
2027-08-20,Friday,G7 Orientation Program I / Entrance Convocation (Rehearsal),Orientation,,,No,No
2027-08-21,Saturday,G7 Orientation Program II / Entrance Convocation,Orientation,,,No,No
2027-08-21,Saturday,BS Orientation Day (p.m.) (Pending),Orientation,,,No,No
2027-08-22,Sunday,G7 Orientation Program II / Entrance Convocation (Backup),Orientation,,,No,No
2027-08-25,Wednesday,First Staff Meeting & IB Staff Meeting Part 1,Staff Meeting,,,No,No
2027-08-26,Thursday,IB Staff Meeting Part 2 & IB New Students Induction Day,Staff Meeting / Induction,,,No,No
2027-08-27,Friday,IB Staff Meeting Part 3,Staff Meeting,,,No,No
