cohort,cohort_f4_year,cohort_f5_year,cohort_f6_year,first_taught_form_term,unit,title,score_scheme,f4_s1_test,f4_s1_exam,f4_s2_test,f4_s2_exam,f5_s1_test,f5_s1_exam,f5_s2_test,f5_s2_exam,f6_test,f6_exam,review_count
中四甲部,2026-2027,2027-2028,2028-2029,中五下學期,政論文章,六國論,5+2+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
中四甲部,2026-2027,2027-2028,2028-2029,中五下學期,政論文章,出師表,5+3+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
中四甲部,2026-2027,2027-2028,2028-2029,中五下學期,政論文章,廉頗藺相如列傳,6+2+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
中四甲部,2026-2027,2027-2028,2028-2029,中六,道家思想,逍遙遊,4+4+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
中五甲部,2025-2026,2026-2027,2027-2028,中四上學期,唐詩三首,月下獨酌,3+1+1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四上學期,唐詩三首,登樓,3+2+1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四上學期,唐詩三首,山居秋暝,3+2+1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四上學期,宋詞三首,念奴嬌‧赤壁懷古,4+2+1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四上學期,宋詞三首,聲聲慢‧秋情,3+2+1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四上學期,宋詞三首,青玉案‧元夕,3+2+1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四下學期,儒家思想,論仁、論孝、論君子,4+3+3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四下學期,儒家思想,魚我所欲也,4+2+1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0
中五甲部,2025-2026,2026-2027,2027-2028,中四下學期,儒家思想,勸學,4+2+1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
中五甲部,2025-2026,2026-2027,2027-2028,中四下學期,儒家思想,師說,5+3+1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
中五甲部,2025-2026,2026-2027,2027-2028,中五上學期,遊記,岳陽樓記,5+3+2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
中五甲部,2025-2026,2026-2027,2027-2028,中五上學期,遊記,始得西山宴遊記,5+3+2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
中五甲部,2025-2026,2026-2027,2027-2028,中五下學期,政論文章,六國論,5+2+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
中五甲部,2025-2026,2026-2027,2027-2028,中五下學期,政論文章,出師表,5+3+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
中五甲部,2025-2026,2026-2027,2027-2028,中五下學期,政論文章,廉頗藺相如列傳,6+2+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
中五甲部,2025-2026,2026-2027,2027-2028,中六,道家思想,逍遙遊,4+4+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
中六甲部,2024-2025,2025-2026,2026-2027,中四上學期,儒家思想,勸學,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中四上學期,儒家思想,師說,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中四上學期,列傳,廉頗藺相如列傳,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
中六甲部,2024-2025,2025-2026,2026-2027,中四下學期,遊記,岳陽樓記,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中四下學期,遊記,始得西山宴遊記,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中四下學期,唐詩,月下獨酌,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
中六甲部,2024-2025,2025-2026,2026-2027,中四下學期,宋詞,聲聲慢‧秋情,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
中六甲部,2024-2025,2025-2026,2026-2027,中五上學期,唐詩,登樓,3+1+1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中五上學期,唐詩,山居秋暝,2+1+1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中五上學期,宋詞,念奴嬌‧赤壁懷古,3+1+1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中五上學期,宋詞,青玉案‧元夕,3+1+1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中五下學期,政論文章,六國論,5+2+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中五下學期,政論文章,出師表,6+3+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
中六甲部,2024-2025,2025-2026,2026-2027,中五下學期,儒家思想,論仁、論孝、論君子,4+3+3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
中六甲部,2024-2025,2025-2026,2026-2027,中五下學期,儒家思想,魚我所欲也,4+2+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
中六甲部,2024-2025,2025-2026,2026-2027,中六,道家思想,逍遙遊,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
